Sku,ExternalKey,MPN,Gtin,Name,ProductTypeDescription,Price DO,Price DD,UpdateUTC
V5346,V5346,5346,5705020053467,Vikan flexibele kabel verlengstuk pijpenborstel 81cm,SimpleProduct,Not Found,"€ 9,41","12/15/2025, 11:21 PM"
V10175,V10175,10175,5705020101755,Vikan Hygiene 10171 ophangrek 1-3,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:21 PM"
V77745,V77745,77745,5705020777455,Vikan 7774-5 te cassette 60 cm,SimpleProduct,Not Found,"€ 17,41","12/15/2025, 11:21 PM"
V56049,V56049,56049,5705020560491,Vikan Hygiene 5604-9 uitlekschep,SimpleProduct,Not Found,"€ 72,56","12/15/2025, 11:21 PM"
V581415,V581415,581415,5705025814155,Vikan ErgoClean 581415 handgreep MOPBOX 40,SimpleProduct,Not Found,"€ 74,40","12/15/2025, 11:21 PM"
V475218,V475218,475218,5705024752182,Vikan ErgoClean 475218 raamwasser T-stuk 35cm,SimpleProduct,Not Found,"€ 12,28","12/15/2025, 11:21 PM"
V10179,V10179,10179,5705020101793,Vikan Hygiene 10171 ophangrek 1-3,SimpleProduct,Not Found,Not Found,"12/15/2025, 11:21 PM"
V2977Q,V2977Q,2977Q,5705020297748,Vikan 2977Q telescoopsteel 2-6mtr waterdoorvoer,SimpleProduct,Not Found,"€ 376,83","12/15/2025, 11:21 PM"
V299252,V299252,299252,5705022992016,Vikan Transport 299252 steel 100cm waterdoorvoer,SimpleProduct,Not Found,"€ 35,85","12/15/2025, 11:21 PM"
V10189,V10189,10189,5705020101892,Vikan Hygiene 1018-1 ophangrek 4-6,SimpleProduct,Not Found,"€ 33,94","12/15/2025, 11:21 PM"
V707852,V707852,707852,5705027078524,Vikan Transport 707852 Wipe-n-Shine 35cm,SimpleProduct,Not Found,"€ 22,80","12/15/2025, 11:21 PM"
V45574,V45574,45574,5705020455742,Vikan lange resin handveger,SimpleProduct,Not Found,"€ 11,82","12/15/2025, 11:21 PM"
